"Date","Price","Open","High","Low","Vol.","Change %"
"06/16/2025","7.92","7.85","8.00","7.74","2.57M","1.80%"
"06/13/2025","7.78","7.90","7.90","7.74","1.58M","-2.14%"
"06/12/2025","7.95","7.86","8.05","7.80","2.03M","0.63%"
"06/11/2025","7.90","7.84","7.99","7.71","1.98M","0.77%"
"06/10/2025","7.84","7.77","8.03","7.77","4.30M","1.42%"
"06/09/2025","7.73","7.75","7.80","7.64","2.05M","-1.15%"
"06/06/2025","7.82","7.82","7.91","7.69","11.37M","-0.38%"
"06/05/2025","7.85","7.97","8.09","7.82","2.04M","-2.00%"
"06/04/2025","8.01","8.02","8.11","7.97","2.74M","-0.12%"
"06/03/2025","8.02","7.90","8.02","7.85","3.43M","1.65%"
"06/02/2025","7.89","7.93","8.08","7.70","5.11M","-1.25%"
"05/30/2025","7.99","7.99","8.05","7.85","2.84M","-0.13%"
"05/29/2025","8.00","8.18","8.21","7.95","3.28M","-1.72%"
"05/28/2025","8.14","8.14","8.19","8.04","1.73M","0.12%"
"05/27/2025","8.13","7.90","8.15","7.89","4.59M","2.91%"
"05/26/2025","7.90","7.76","7.93","7.76","1.80M","1.80%"
"05/23/2025","7.76","7.68","7.79","7.53","2.12M","-0.26%"
"05/22/2025","7.78","7.52","7.90","7.41","2.88M","1.97%"
"05/21/2025","7.63","7.91","7.92","7.58","2.86M","-4.15%"
"05/20/2025","7.96","7.89","7.97","7.78","2.14M","0.38%"
"05/19/2025","7.93","7.78","8.00","7.74","2.17M","1.80%"
"05/16/2025","7.79","7.66","7.79","7.58","2.98M","0.91%"
"05/15/2025","7.72","7.58","7.83","7.58","4.07M","1.31%"
"05/14/2025","7.62","7.67","7.71","7.58","2.16M","-0.91%"
"05/13/2025","7.69","7.52","7.78","7.49","2.01M","2.53%"
"05/12/2025","7.50","7.61","7.69","7.39","2.24M","-1.06%"
"05/09/2025","7.58","7.67","7.77","7.57","2.35M","-1.17%"
"05/08/2025","7.67","7.69","7.93","7.61","3.76M","0.92%"
"05/07/2025","7.60","7.67","7.70","7.50","3.59M","-1.04%"
"05/06/2025","7.68","7.77","7.85","7.49","6.61M","-0.26%"
"05/05/2025","7.70","7.78","7.83","7.63","2.49M","-0.65%"
"05/02/2025","7.75","7.78","7.83","7.67","4.17M","0.65%"
"04/30/2025","7.70","7.66","7.82","7.58","4.79M","-0.13%"
"04/29/2025","7.71","7.65","7.86","7.57","4.72M","1.45%"
"04/28/2025","7.60","7.64","7.71","7.56","3.44M","0.00%"
"04/25/2025","7.60","7.63","7.75","7.57","4.51M","0.00%"
"04/24/2025","7.60","7.47","7.79","7.35","5.17M","2.29%"
"04/23/2025","7.43","7.48","7.55","7.34","3.24M","1.36%"
"04/22/2025","7.33","7.49","7.52","7.33","2.96M","-1.87%"
"04/17/2025","7.47","7.38","7.47","7.26","4.38M","1.22%"
"04/16/2025","7.38","7.41","7.45","7.29","3.22M","-0.81%"
"04/15/2025","7.44","7.47","7.48","7.35","3.11M","0.00%"
"04/14/2025","7.44","7.61","7.72","7.41","3.77M","-1.72%"
"04/11/2025","7.57","7.47","7.70","7.36","7.09M","1.75%"
"04/10/2025","7.44","7.24","7.44","7.19","7.36M","2.48%"
"04/09/2025","7.26","6.71","7.27","6.68","5.05M","7.40%"
"04/08/2025","6.76","7.00","7.01","6.74","3.73M","-2.73%"
"04/07/2025","6.95","6.86","7.19","6.79","3.83M","-1.28%"
"04/04/2025","7.04","7.47","7.51","6.97","4.27M","-7.12%"
"04/03/2025","7.58","7.12","7.62","7.08","8.69M","6.46%"
"04/02/2025","7.12","7.03","7.18","7.01","3.06M","1.28%"
"04/01/2025","7.03","6.77","7.09","6.74","2.69M","3.69%"
"03/31/2025","6.78","6.90","6.96","6.78","4.20M","-3.00%"
"03/28/2025","6.99","7.08","7.11","6.96","5.31M","-1.13%"
"03/27/2025","7.07","6.86","7.19","6.79","6.10M","3.21%"
"03/26/2025","6.85","6.69","6.91","6.69","3.57M","1.77%"
"03/25/2025","6.73","6.59","6.79","6.56","3.06M","2.26%"
"03/24/2025","6.58","6.72","6.77","6.57","5.16M","-1.78%"
"03/21/2025","6.70","6.71","6.72","6.61","2.60M","0.30%"
"03/20/2025","6.68","6.74","6.77","6.64","2.32M","-3.03%"
"03/19/2025","6.89","6.75","6.91","6.71","4.06M","6.00%"
"03/18/2025","6.50","6.41","6.55","6.34","2.82M","1.56%"
"03/17/2025","6.40","6.44","6.46","6.27","3.10M","-0.78%"
"03/14/2025","6.45","6.32","6.49","6.32","2.60M","2.06%"
"03/13/2025","6.32","6.36","6.39","6.22","1.98M","-0.63%"
"03/12/2025","6.36","6.19","6.36","6.19","3.07M","2.42%"
"03/11/2025","6.21","6.28","6.29","6.14","2.35M","-0.64%"
"03/10/2025","6.25","6.30","6.31","6.18","3.26M","-0.95%"
"03/07/2025","6.31","6.17","6.31","6.07","4.77M","2.27%"
"03/06/2025","6.17","6.29","6.29","6.08","4.20M","-1.28%"
"03/05/2025","6.25","6.30","6.33","6.19","2.51M","-2.04%"
"02/28/2025","6.38","6.61","6.66","6.37","6.63M","-3.33%"
"02/27/2025","6.60","6.68","6.72","6.55","4.21M","-1.35%"
"02/26/2025","6.69","6.87","6.88","6.62","5.24M","-1.91%"
"02/25/2025","6.82","6.76","7.08","6.70","5.55M","0.59%"
"02/24/2025","6.78","6.88","6.96","6.73","3.98M","-2.31%"
"02/21/2025","6.94","6.99","7.04","6.88","3.68M","-0.72%"
"02/20/2025","6.99","6.98","7.12","6.95","3.61M","0.29%"
"02/19/2025","6.97","7.10","7.13","6.96","3.34M","-2.11%"
"02/18/2025","7.12","7.36","7.37","7.04","6.51M","-3.13%"
"02/17/2025","7.35","7.12","7.46","7.09","7.14M","3.23%"
"02/14/2025","7.12","6.73","7.12","6.73","7.19M","5.33%"
"02/13/2025","6.76","6.58","6.82","6.51","4.49M","2.74%"
"02/12/2025","6.58","6.65","6.68","6.49","3.35M","-1.35%"
"02/11/2025","6.67","6.52","6.82","6.47","4.44M","2.30%"
"02/10/2025","6.52","6.60","6.74","6.50","2.90M","-1.36%"
"02/07/2025","6.61","6.83","6.83","6.53","3.30M","-2.65%"
"02/06/2025","6.79","6.74","6.84","6.66","2.82M","1.49%"
"02/05/2025","6.69","6.69","6.74","6.61","2.33M","-0.15%"
"02/04/2025","6.70","6.68","6.75","6.64","2.74M","-0.15%"
"02/03/2025","6.71","6.61","6.75","6.57","4.01M","0.45%"
"01/31/2025","6.68","6.66","6.75","6.56","5.16M","0.15%"
"01/30/2025","6.67","6.42","6.71","6.42","3.32M","3.57%"
"01/29/2025","6.44","6.46","6.53","6.41","2.38M","-0.77%"
"01/28/2025","6.49","6.50","6.58","6.46","3.49M","-0.61%"
"01/27/2025","6.53","6.29","6.62","6.28","5.60M","3.65%"
"01/24/2025","6.30","6.25","6.41","6.23","4.03M","0.32%"
"01/23/2025","6.28","6.36","6.44","6.16","3.64M","-1.26%"
"01/22/2025","6.36","6.30","6.47","6.28","4.48M","0.95%"
"01/21/2025","6.30","6.16","6.30","6.10","2.84M","2.44%"
"01/20/2025","6.15","6.21","6.28","6.14","2.73M","-1.76%"
"01/17/2025","6.26","6.19","6.29","6.06","4.17M","1.62%"
"01/16/2025","6.16","6.23","6.23","6.08","3.97M","-0.16%"
"01/15/2025","6.17","6.01","6.22","5.93","4.62M","3.70%"
"01/14/2025","5.95","5.89","5.96","5.85","3.42M","1.02%"
"01/13/2025","5.89","5.97","5.98","5.87","3.67M","-1.34%"
"01/10/2025","5.97","6.07","6.07","5.85","3.54M","-1.00%"
"01/09/2025","6.03","6.03","6.08","5.97","3.53M","-0.17%"
"01/08/2025","6.04","6.22","6.22","6.00","3.43M","-2.89%"
"01/07/2025","6.22","6.14","6.28","6.13","6.26M","1.80%"
"01/06/2025","6.11","5.98","6.12","5.97","6.13M","2.52%"
"01/03/2025","5.96","6.07","6.09","5.88","4.73M","-1.49%"
"01/02/2025","6.05","6.33","6.37","6.05","6.34M","-5.32%"
"12/30/2024","6.39","6.48","6.56","6.23","4.15M","-1.69%"
"12/27/2024","6.50","6.94","6.98","6.43","5.93M","-6.34%"
"12/26/2024","6.94","6.99","7.02","6.90","5.26M","-0.14%"
"12/23/2024","6.95","6.92","6.96","6.82","5.45M","-0.43%"
"12/20/2024","6.98","6.78","6.98","6.66","8.49M","3.25%"
"12/19/2024","6.76","6.64","6.79","6.62","4.70M","1.35%"
"12/18/2024","6.67","6.83","6.89","6.62","4.79M","-2.77%"
"12/17/2024","6.86","6.74","6.92","6.66","4.06M","1.78%"
"12/16/2024","6.74","6.89","6.89","6.67","4.39M","-1.17%"
"12/13/2024","6.82","7.06","7.06","6.82","4.01M","-3.12%"
"12/12/2024","7.04","7.43","7.45","6.97","5.44M","-5.25%"
"12/11/2024","7.43","7.41","7.64","7.30","8.03M","1.36%"
"12/10/2024","7.33","7.15","7.42","7.09","8.25M","2.95%"
"12/09/2024","7.12","7.10","7.21","6.98","3.06M","0.00%"
"12/06/2024","7.12","7.16","7.22","7.07","5.19M","-0.56%"
"12/05/2024","7.16","7.12","7.36","7.12","6.77M","0.99%"
"12/04/2024","7.09","7.17","7.22","7.08","7.40M","-1.12%"
"12/03/2024","7.17","7.05","7.21","7.03","7.06M","2.14%"
"12/02/2024","7.02","7.03","7.11","6.97","7.63M","0.57%"
"11/29/2024","6.98","6.97","7.07","6.85","4.19M","0.14%"
"11/28/2024","6.97","7.23","7.23","6.97","5.02M","-3.19%"
"11/27/2024","7.20","7.32","7.40","7.13","4.30M","-1.64%"
"11/26/2024","7.32","7.30","7.36","7.14","5.55M","1.67%"
"11/25/2024","7.20","7.25","7.32","7.20","4.76M","-0.69%"
"11/22/2024","7.25","7.02","7.25","6.97","4.11M","3.28%"
"11/21/2024","7.02","7.06","7.09","6.98","4.10M","-0.57%"
"11/19/2024","7.06","7.16","7.26","7.06","3.24M","-1.40%"
"11/18/2024","7.16","7.20","7.38","7.13","3.95M","-1.10%"
"11/14/2024","7.24","7.38","7.39","7.18","4.48M","-1.76%"
"11/13/2024","7.37","7.40","7.50","7.26","3.69M","-0.54%"
"11/12/2024","7.41","7.58","7.82","7.40","7.13M","-0.20%"
"11/11/2024","7.42","7.30","7.51","7.30","4.73M","1.36%"
"11/08/2024","7.33","7.32","7.36","7.18","2.61M","-0.67%"
"11/07/2024","7.37","7.61","7.69","7.30","2.62M","-3.26%"
"11/06/2024","7.62","7.55","7.65","7.39","2.16M","0.13%"
"11/05/2024","7.61","7.54","7.64","7.47","2.02M","0.26%"
"11/04/2024","7.59","7.49","7.62","7.34","2.84M","2.41%"
"11/01/2024","7.41","7.60","7.65","7.37","3.32M","-1.58%"
"10/31/2024","7.53","7.37","7.53","7.37","8.46M","1.47%"
"10/30/2024","7.42","7.16","7.46","7.16","2.56M","3.75%"
"10/29/2024","7.16","7.34","7.36","7.12","3.73M","-2.44%"
"10/28/2024","7.34","7.30","7.38","7.23","3.35M","1.37%"
"10/25/2024","7.24","7.41","7.43","7.23","5.72M","-2.02%"
"10/24/2024","7.38","7.39","7.43","7.26","4.55M","-0.13%"
"10/23/2024","7.39","7.29","7.44","7.29","3.43M","0.54%"
"10/22/2024","7.35","7.24","7.35","7.14","2.74M","1.09%"
"10/21/2024","7.28","7.28","7.33","7.17","2.98M","0.00%"
"10/18/2024","7.28","7.46","7.48","7.27","2.45M","-2.14%"
"10/17/2024","7.43","7.33","7.48","7.27","2.12M","0.27%"
"10/16/2024","7.41","7.34","7.42","7.21","3.75M","1.91%"
"10/15/2024","7.28","7.22","7.34","7.21","2.23M","0.97%"
"10/14/2024","7.21","7.21","7.32","7.17","3.00M","-0.41%"
"10/11/2024","7.24","7.17","7.27","7.02","4.14M","0.83%"
"10/10/2024","7.18","7.26","7.32","7.18","2.80M","-0.28%"
"10/09/2024","7.20","7.34","7.34","7.18","1.83M","-2.03%"
"10/08/2024","7.34","7.17","7.40","7.17","2.28M","1.65%"
"10/07/2024","7.23","7.25","7.37","7.17","2.43M","-1.09%"
"10/04/2024","7.31","7.36","7.38","7.22","2.37M","-0.54%"
"10/03/2024","7.34","7.43","7.47","7.34","3.13M","-1.73%"
"10/02/2024","7.47","7.27","7.52","7.27","3.28M","2.73%"
"10/01/2024","7.28","7.44","7.44","7.28","4.90M","-1.21%"
"09/30/2024","7.36","7.42","7.47","7.28","3.76M","-1.33%"
"09/27/2024","7.46","7.29","7.59","7.29","3.11M","1.97%"
"09/26/2024","7.32","7.09","7.34","7.06","3.41M","4.37%"
"09/25/2024","7.01","7.21","7.27","6.98","3.03M","-2.74%"
"09/24/2024","7.21","7.05","7.24","7.05","2.17M","2.38%"
"09/23/2024","7.04","7.01","7.08","6.97","3.10M","-0.42%"
"09/20/2024","7.07","7.11","7.16","6.91","4.64M","-0.56%"
"09/19/2024","7.11","7.43","7.43","7.05","2.22M","-2.70%"
"09/18/2024","7.31","7.32","7.41","7.24","6.08M","-0.27%"
"09/17/2024","7.33","7.31","7.37","7.24","1.90M","-0.27%"
"09/16/2024","7.35","7.31","7.38","7.26","2.04M","-0.40%"
"09/13/2024","7.38","7.55","7.57","7.30","5.55M","-2.48%"
"09/12/2024","7.57","7.85","7.86","7.55","3.11M","-4.13%"
"09/11/2024","7.89","7.78","7.93","7.68","6.34M","1.52%"
"09/10/2024","7.77","7.74","7.84","7.66","4.29M","0.64%"
"09/09/2024","7.72","7.60","7.81","7.47","11.83M","-3.22%"
"09/06/2024","7.98","7.88","8.04","7.87","3.37M","1.00%"
"09/05/2024","7.90","7.86","7.93","7.78","1.36M","0.25%"
"09/04/2024","7.88","7.72","7.94","7.70","2.16M","2.05%"
"09/03/2024","7.72","7.73","7.86","7.65","2.49M","-0.89%"
"09/02/2024","7.79","7.72","7.82","7.58","2.28M","0.13%"
"08/30/2024","7.78","7.84","7.87","7.67","2.41M","-0.51%"
"08/29/2024","7.82","7.93","7.98","7.79","2.98M","-1.37%"
"08/28/2024","7.93","8.02","8.06","7.88","4.90M","-1.35%"
"08/27/2024","8.04","7.87","8.10","7.87","2.39M","1.62%"
"08/26/2024","7.91","7.91","8.01","7.84","2.35M","0.00%"
"08/23/2024","7.91","7.74","7.98","7.70","3.02M","1.78%"
"08/22/2024","7.77","7.82","7.91","7.67","2.06M","0.13%"
"08/21/2024","7.76","7.75","7.85","7.65","1.42M","0.13%"
"08/20/2024","7.75","7.75","7.89","7.71","2.26M","-0.76%"
"08/19/2024","7.81","7.89","7.89","7.76","2.63M","0.13%"
"08/16/2024","7.80","7.98","7.99","7.75","2.95M","-1.25%"
"08/15/2024","7.90","7.95","7.99","7.81","1.79M","-0.74%"
"08/14/2024","7.96","7.75","8.02","7.75","2.04M","1.38%"
"08/13/2024","7.85","7.90","8.02","7.76","2.24M","-0.25%"
"08/12/2024","7.87","7.80","7.97","7.73","3.39M","0.38%"
"08/09/2024","7.84","7.60","7.87","7.60","4.36M","3.12%"
"08/08/2024","7.61","7.36","7.70","7.34","4.56M","3.36%"
"08/07/2024","7.36","7.06","7.42","7.03","4.57M","5.23%"
"08/06/2024","6.99","6.97","7.09","6.93","2.99M","0.43%"
"08/05/2024","6.96","6.70","6.98","6.66","2.83M","0.86%"
"08/02/2024","6.90","6.63","6.90","6.61","4.38M","2.79%"
"08/01/2024","6.72","6.61","6.84","6.61","3.21M","1.64%"
"07/31/2024","6.61","6.59","6.70","6.59","3.17M","0.30%"
"07/30/2024","6.59","6.62","6.66","6.50","2.66M","0.00%"
"07/29/2024","6.59","6.86","6.87","6.58","4.85M","-3.47%"
"07/26/2024","6.83","6.89","6.89","6.75","4.15M","0.00%"
"07/25/2024","6.83","6.93","6.96","6.83","1.88M","-1.85%"
"07/24/2024","6.95","7.09","7.15","6.93","2.94M","-1.12%"
"07/23/2024","7.03","7.14","7.15","7.01","1.44M","-1.52%"
"07/22/2024","7.14","7.06","7.20","6.99","1.80M","1.54%"
"07/19/2024","7.03","7.05","7.16","7.02","2.25M","-0.56%"
"07/18/2024","7.07","7.32","7.32","6.97","6.97M","-2.98%"
"07/17/2024","7.29","7.31","7.42","7.24","2.83M","-0.14%"
"07/16/2024","7.30","7.18","7.30","7.12","2.34M","1.23%"
"07/15/2024","7.21","7.19","7.25","7.12","1.19M","0.14%"
"07/12/2024","7.20","7.16","7.29","7.07","2.69M","0.41%"
"07/11/2024","7.17","7.19","7.28","7.07","3.76M","0.14%"
"07/10/2024","7.16","7.22","7.29","7.13","4.52M","-0.96%"
"07/09/2024","7.23","7.24","7.28","7.17","1.98M","-0.54%"
"07/08/2024","7.27","7.19","7.43","7.19","6.77M","0.55%"
"07/05/2024","7.23","7.05","7.31","6.96","3.39M","2.52%"
"07/04/2024","7.05","6.95","7.12","6.95","2.18M","2.29%"
"07/03/2024","6.89","6.79","7.04","6.78","6.74M","1.90%"
"07/02/2024","6.77","6.74","6.84","6.68","2.97M","0.15%"
"07/01/2024","6.76","6.84","6.86","6.72","3.68M","-1.30%"
"06/28/2024","6.85","7.06","7.14","6.76","5.25M","-3.21%"
"06/27/2024","7.07","6.89","7.11","6.81","5.63M","2.87%"
"06/26/2024","6.88","6.92","6.99","6.77","5.63M","-1.83%"
"06/25/2024","7.00","6.99","7.11","6.90","4.12M","-0.14%"
"06/24/2024","7.01","7.05","7.13","6.91","3.44M","-0.70%"
"06/21/2024","7.06","6.99","7.14","6.97","2.19M","0.14%"
"06/20/2024","7.05","7.07","7.29","7.03","2.21M","-1.38%"
"06/19/2024","7.15","7.05","7.15","6.94","2.61M","1.12%"
"06/18/2024","7.07","7.02","7.18","6.93","1.75M","0.56%"
"06/17/2024","7.03","7.06","7.16","7.03","3.31M","-1.10%"
"06/14/2024","7.11","7.23","7.28","7.09","3.60M","-1.63%"
"06/13/2024","7.23","7.35","7.39","7.15","4.70M","-2.12%"
"06/12/2024","7.39","7.62","7.74","7.30","2.58M","-2.08%"
"06/11/2024","7.54","7.49","7.68","7.49","1.81M","0.79%"
"06/10/2024","7.48","7.64","7.64","7.41","1.24M","-1.67%"
"06/07/2024","7.61","7.64","7.76","7.55","6.75M","-1.02%"
"06/06/2024","7.69","7.61","7.80","7.57","4.43M","0.64%"
"06/05/2024","7.64","7.48","7.71","7.43","4.34M","1.96%"
"06/04/2024","7.49","7.60","7.63","7.44","2.95M","-1.92%"
"06/03/2024","7.64","7.62","7.69","7.57","8.31M","0.26%"
"05/31/2024","7.62","7.64","7.72","7.55","7.71M","-0.77%"
"05/29/2024","7.68","7.37","7.75","7.37","6.70M","4.53%"
"05/28/2024","7.35","7.41","7.48","7.33","1.26M","-0.79%"
"05/27/2024","7.41","7.34","7.47","7.26","2.00M","-0.74%"
"05/25/2024","7.46","7.46","7.46","7.46","","1.41%"
"05/24/2024","7.36","7.54","7.59","7.29","2.88M","-1.44%"
"05/23/2024","7.46","7.67","7.69","7.43","4.20M","-2.81%"
"05/22/2024","7.68","7.89","7.94","7.68","4.35M","-2.97%"
"05/21/2024","7.91","7.96","8.01","7.85","2.24M","-0.62%"
"05/20/2024","7.96","7.91","8.04","7.84","2.37M","0.49%"
"05/17/2024","7.92","7.88","7.97","7.79","3.14M","0.50%"
"05/16/2024","7.89","7.83","7.96","7.71","2.65M","1.51%"
"05/15/2024","7.77","7.83","7.93","7.75","5.50M","-0.75%"
"05/14/2024","7.83","7.62","7.89","7.62","2.84M","1.52%"
"05/13/2024","7.71","7.73","7.80","7.67","2.32M","-0.63%"
"05/10/2024","7.76","7.69","7.84","7.62","3.76M","0.13%"
"05/09/2024","7.75","7.63","7.86","7.57","9.05M","1.15%"
"05/08/2024","7.66","7.57","7.70","7.41","4.89M","1.30%"
"05/07/2024","7.56","7.35","7.64","7.33","5.07M","2.66%"
"05/06/2024","7.37","7.42","7.52","7.30","4.00M","-0.92%"
"05/03/2024","7.43","7.31","7.60","7.31","5.29M","3.27%"
"05/02/2024","7.20","7.35","7.44","7.07","6.28M","-0.94%"
"04/30/2024","7.27","7.45","7.48","7.24","4.00M","-3.26%"
"04/29/2024","7.51","7.39","7.52","7.36","3.28M","1.72%"
"04/26/2024","7.39","7.21","7.43","7.19","3.05M","2.59%"
"04/25/2024","7.20","7.15","7.24","7.05","3.05M","0.68%"
"04/24/2024","7.15","7.28","7.28","7.06","3.46M","-0.95%"
"04/23/2024","7.22","7.24","7.28","7.10","5.49M","-0.81%"
"04/22/2024","7.28","7.35","7.37","7.19","2.47M","-0.93%"
"04/19/2024","7.35","7.16","7.45","7.16","4.06M","2.60%"
"04/18/2024","7.16","7.16","7.36","7.16","2.62M","-0.41%"
"04/17/2024","7.19","7.29","7.41","7.14","5.40M","-1.08%"
"04/16/2024","7.27","7.49","7.49","7.23","7.34M","-3.51%"
"04/15/2024","7.53","7.78","7.81","7.49","7.84M","-3.63%"
"04/12/2024","7.82","8.06","8.06","7.72","5.41M","-3.04%"
"04/11/2024","8.06","7.98","8.15","7.95","3.30M","0.61%"
"04/10/2024","8.01","8.06","8.06","7.92","3.27M","-0.73%"
"04/09/2024","8.07","8.05","8.14","7.98","3.29M","0.00%"
"04/08/2024","8.07","8.07","8.13","8.01","4.22M","0.00%"
"04/05/2024","8.07","8.00","8.12","7.90","3.91M","0.37%"
"04/04/2024","8.04","8.06","8.23","8.01","6.95M","-0.12%"
"04/03/2024","8.05","8.18","8.18","7.93","5.94M","-1.56%"
"04/02/2024","8.18","8.25","8.27","8.04","3.03M","-1.42%"
"04/01/2024","8.30","8.55","8.60","8.24","6.15M","-2.72%"
"03/28/2024","8.53","8.31","8.61","8.31","8.74M","2.58%"
"03/27/2024","8.31","8.22","8.42","8.17","5.83M","0.95%"
"03/26/2024","8.24","7.92","8.29","7.92","5.18M","2.67%"
"03/25/2024","8.02","7.90","8.13","7.88","4.19M","-1.58%"
"03/23/2024","8.15","8.15","8.15","8.15","","2.60%"
"03/22/2024","7.94","8.17","8.17","7.91","5.08M","-3.21%"
"03/21/2024","8.21","8.19","8.22","8.10","5.90M","0.72%"
"03/20/2024","8.15","7.93","8.21","7.90","4.24M","2.70%"
"03/19/2024","7.93","8.00","8.01","7.88","2.48M","-0.85%"
"03/18/2024","8.00","7.87","8.05","7.85","7.07M","1.23%"
"03/15/2024","7.90","8.06","8.11","7.84","7.10M","-2.52%"
